Symbol,EFI_Quantile_0.99
BHARTIARTL-EQ,2090171.457554452
MARUTI-EQ,1811874.8002228541
JSWSTEEL-EQ,1270303.6826155842
HDFCBANK-EQ,3512206.299802042
ITC-EQ,1670486.8549852285
LT-EQ,1483882.310069341
ULTRACEMCO-EQ,823062.0118160081
HINDUNILVR-EQ,827600.9701402683
BAJAJ-AUTO-EQ,989721.1778465919
UPL-EQ,1002855.2788002267
HINDALCO-EQ,1738859.9266010132
INFY-EQ,2330873.239217808
SBILIFE-EQ,518288.2165894508
SUNPHARMA-EQ,972726.7915555183
M&M-EQ,2018698.9327825734
ASIANPAINT-EQ,1044984.6800356208
TITAN-EQ,934254.5431650069
ICICIBANK-EQ,2553149.9251210587
ONGC-EQ,1697546.8148480814
TORNTPHARM-EQ,238599.70245257803
AXISBANK-EQ,2447757.253078657
HCLTECH-EQ,1147885.2165969384
DRREDDY-EQ,847669.744765604
TECHM-EQ,1062977.136397487
ADANIPORTS-EQ,3771070.2082442255
GRASIM-EQ,494114.636245004
HEROMOTOCO-EQ,972394.5861322664
DIVISLAB-EQ,908556.7464588704
POWERGRID-EQ,1231349.7010128447
BAJAJFINSV-EQ,668431.6135390196
NTPC-EQ,1206761.6940530154
COALINDIA-EQ,1264640.6402173056
TATASTEEL-EQ,1351506.5903826307
SHREECEM-EQ,404127.3711088739
KOTAKBANK-EQ,1768654.4921936432
SBIN-EQ,3202028.27206157
BAJFINANCE-EQ,3384254.5193131575
NESTLEIND-EQ,374027.1135322024
RELIANCE-EQ,4251048.261168587
TATAMOTORS-EQ,6315733.0793864
HDFCLIFE-EQ,815316.2307811925
TATACONSUM-EQ,540722.0315481724
WIPRO-EQ,1286655.7474163752
INDUSINDBK-EQ,2660126.1686974033
BRITANNIA-EQ,454540.3398713818
BPCL-EQ,1218176.688483457
CIPLA-EQ,888799.8281069725
EICHERMOT-EQ,932480.8696576279
